Stock,Initial Investment,Shares Purchased,Start Price,End Price,Total Return (%),Future Value,Absolute Profit/Loss,Volatility (Annual),Maximum Drawdown
BAJFINANCE.NS,58359.92,8.904813274842647,6553.75,6823.0,4.108334922754149,60757.54097425138,2397.620974251382,"Ticker
BAJFINANCE.NS    24.916274
dtype: float64","Ticker
BAJFINANCE.NS   -22.737204
dtype: float64"
BAJAJFINSV.NS,53981.76,34.77085990338164,1552.5,1568.0999755859375,1.004829345309984,54524.18456559481,542.4245655948107,"Ticker
BAJAJFINSV.NS    22.226071
dtype: float64","Ticker
BAJAJFINSV.NS   -22.449889
dtype: float64"
TITAN.NS,52711.75,20.544382734093347,2565.75,3253.14990234375,26.79138272800351,66833.95668512839,14122.206685128389,"Ticker
TITAN.NS    20.746424
dtype: float64","Ticker
TITAN.NS   -19.28801
dtype: float64"
HCLTECH.NS,52435.63,50.445555306327265,1039.449951171875,1917.4000244140625,84.46294814410135,96724.30897593284,44288.678975932846,"Ticker
HCLTECH.NS    21.42042
dtype: float64","Ticker
HCLTECH.NS   -22.702204
dtype: float64"
MARUTI.NS,52016.47,6.190005260907667,8403.2998046875,10858.400390625,29.215910927847705,67213.55554301062,15197.085543010617,"Ticker
MARUTI.NS    19.667825
dtype: float64","Ticker
MARUTI.NS   -20.443701
dtype: float64"
DIVISLAB.NS,50977.5,15.11496937899611,3372.64990234375,6098.7998046875,80.83109665338438,92183.17229647902,41205.672296479024,"Ticker
DIVISLAB.NS    26.258547
dtype: float64","Ticker
DIVISLAB.NS   -21.445807
dtype: float64"
INDUSINDBK.NS,50809.66,41.431614964336475,1226.3499755859375,960.1500244140625,-21.70668703643814,39780.5661195217,-11029.0938804783,"Ticker
INDUSINDBK.NS    28.708651
dtype: float64","Ticker
INDUSINDBK.NS   -44.965508
dtype: float64"
BRITANNIA.NS,50806.94,11.837177441602545,4292.14990234375,4762.75,10.964204614551706,56377.51685999252,5570.576859992514,"Ticker
BRITANNIA.NS    19.208922
dtype: float64","Ticker
BRITANNIA.NS   -27.116603
dtype: float64"
JSWSTEEL.NS,50782.5,65.50045246945191,775.2999877929688,901.5,16.277571803693995,59048.65790121091,8266.157901210907,"Ticker
JSWSTEEL.NS    23.949751
dtype: float64","Ticker
JSWSTEEL.NS   -15.155424
dtype: float64"
ASIANPAINT.NS,50669.18,16.62783821478382,3047.25,2281.35009765625,-25.13413413220937,37933.9203351094,-12735.259664890604,"Ticker
ASIANPAINT.NS    19.006814
dtype: float64","Ticker
ASIANPAINT.NS   -36.157126
dtype: float64"
INFY.NS,49996.27,32.805951443569555,1524.0,1880.0,23.35958005249344,61675.18871391076,11678.91871391076,"Ticker
INFY.NS    23.218852
dtype: float64","Ticker
INFY.NS   -24.341371
dtype: float64"
ADANIPORTS.NS,48820.13,59.37021856346116,822.2999877929688,1231.0999755859375,49.714215476298016,73090.67462400881,24270.544624008813,"Ticker
ADANIPORTS.NS    43.860227
dtype: float64","Ticker
ADANIPORTS.NS   -43.761399
dtype: float64"
DRREDDY.NS,48537.18,57.30413978629445,847.010009765625,1388.5,63.92958571814399,79566.79809326984,31029.61809326984,"Ticker
DRREDDY.NS    19.47222
dtype: float64","Ticker
DRREDDY.NS   -15.613565
dtype: float64"
AXISBANK.NS,47639.71,50.5944256958533,941.5999755859375,1064.699951171875,13.073489674777766,53867.88256794407,6228.1725679440715,"Ticker
AXISBANK.NS    21.901955
dtype: float64","Ticker
AXISBANK.NS   -19.175593
dtype: float64"
POWERGRID.NS,47241.23,292.9007406790716,161.28750610351562,308.70001220703125,91.39734977916088,90418.46222307789,43177.23222307789,"Ticker
POWERGRID.NS    26.769969
dtype: float64","Ticker
POWERGRID.NS   -15.843487
dtype: float64"
TATACONSUM.NS,47212.12,61.933780343732906,762.2999877929688,914.7000122070312,19.99213260586493,56650.829636440074,9438.709636440071,"Ticker
TATACONSUM.NS    21.70002
dtype: float64","Ticker
TATACONSUM.NS   -29.495464
dtype: float64"
RELIANCE.NS,47195.06,39.70050018355049,1188.7774658203125,1215.449951171875,2.243690355718278,48253.97100959545,1058.911009595453,"Ticker
RELIANCE.NS    20.344153
dtype: float64","Ticker
RELIANCE.NS   -24.711098
dtype: float64"
HDFCBANK.NS,47186.15,28.971665386278687,1628.699951171875,1772.8499755859375,8.850618820878843,51362.41627274813,4176.266272748129,"Ticker
HDFCBANK.NS    19.83267
dtype: float64","Ticker
HDFCBANK.NS   -19.913778
dtype: float64"
BIOCON.NS,46627.69,177.02236552945624,263.3999938964844,365.3500061035156,38.70539657153424,64675.12232664561,18047.432326645605,"Ticker
BIOCON.NS    33.148677
dtype: float64","Ticker
BIOCON.NS   -24.563401
dtype: float64"
EICHERMOT.NS,45993.16,14.244439540065798,3228.85009765625,4821.89990234375,49.33799205617688,68685.26162718472,22692.10162718472,"Ticker
EICHERMOT.NS    24.121213
dtype: float64","Ticker
EICHERMOT.NS   -14.849493
dtype: float64"
