Stock,Initial Investment,Shares Purchased,Start Price,End Price,Total Return (%),Future Value,Absolute Profit/Loss,Volatility (Annual),Maximum Drawdown
BAJFINANCE.NS,58359.92,8.904813274842647,6553.75,7327.75,11.810032424184627,65252.24547472821,6892.325474728212,"Ticker
BAJFINANCE.NS    24.123705
dtype: float64","Ticker
BAJFINANCE.NS   -16.224027
dtype: float64"
BAJAJFINSV.NS,53981.76,34.77085990338164,1552.5,1685.800048828125,8.58615451388889,58616.717322916666,4634.9573229166635,"Ticker
BAJAJFINSV.NS    22.198547
dtype: float64","Ticker
BAJAJFINSV.NS   -21.743441
dtype: float64"
TITAN.NS,52711.75,20.544382734093347,2565.75,3675.449951171875,43.25050964325733,75509.8505168797,22798.1005168797,"Ticker
TITAN.NS    17.616452
dtype: float64","Ticker
TITAN.NS   -11.688858
dtype: float64"
HCLTECH.NS,52435.63,50.445555306327265,1039.449951171875,1466.0999755859375,41.045749622967186,73958.22740302546,21522.597403025466,"Ticker
HCLTECH.NS    20.477945
dtype: float64","Ticker
HCLTECH.NS   -9.751216
dtype: float64"
MARUTI.NS,52016.47,6.190005260907667,8403.2998046875,10302.349609375,22.59885817269281,63771.5982817413,11755.128281741301,"Ticker
MARUTI.NS    15.790194
dtype: float64","Ticker
MARUTI.NS   -8.202588
dtype: float64"
DIVISLAB.NS,50977.5,15.11496937899611,3372.64990234375,3903.89990234375,15.751709053193435,59007.32748259168,8029.8274825916815,"Ticker
DIVISLAB.NS    27.532315
dtype: float64","Ticker
DIVISLAB.NS   -21.445807
dtype: float64"
INDUSINDBK.NS,50809.66,41.431614964336475,1226.3499755859375,1598.949951171875,30.382842011140664,66247.07872419774,15437.418724197734,"Ticker
INDUSINDBK.NS    24.976936
dtype: float64","Ticker
INDUSINDBK.NS   -19.231232
dtype: float64"
BRITANNIA.NS,50806.94,11.837177441602545,4292.14990234375,5338.4501953125,24.377067827883003,63192.182225071825,12385.242225071823,"Ticker
BRITANNIA.NS    16.55065
dtype: float64","Ticker
BRITANNIA.NS   -15.004205
dtype: float64"
JSWSTEEL.NS,50782.5,65.50045246945191,775.2999877929688,880.25,13.536697260345687,57656.773286235046,6874.273286235046,"Ticker
JSWSTEEL.NS    20.538664
dtype: float64","Ticker
JSWSTEEL.NS   -15.155424
dtype: float64"
ASIANPAINT.NS,50669.18,16.62783821478382,3047.25,3402.39990234375,11.654767490155058,56574.55511816815,5905.375118168151,"Ticker
ASIANPAINT.NS    16.773798
dtype: float64","Ticker
ASIANPAINT.NS   -17.189658
dtype: float64"
